source_id,recording_alias,platform,source_url,source_identifier,source_title,source_creator,publication_date,duration_seconds,runtime,language,public_access_status,source_license_status,source_terms_url,release_raw_media,release_audio,release_converted_wav,release_full_transcript_text,release_text_chunks,release_chunk_metadata,release_topic_timestamp_annotations,recommended_data_license,rights_release_decision,annotation_source_policy,action_required_before_public_release,notes
src_0001,src_0001.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/deltfl-3rd_Quarterly_Town_Hall_-_September_15_2023,deltfl-3rd_Quarterly_Town_Hall_-_September_15_2023,"3rd Quarterly Town Hall - September 15, 2023",City of Deltona,2023-09-19,4024,01:07:04,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: deltfl-3rd_Quarterly_Town_Hall_-_September_15_2023; upstream YouTube URL: https://www.youtube.com/watch?v=PKrtdPBVL94
src_0002,src_0002.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/bhammi-05.07.2022_City_Commission_Budget_Hearing,bhammi-05.07.2022_City_Commission_Budget_Hearing,05.07.2022 City Commission Budget Hearing,City of Birmingham MI,2022-05-07,12017,03:20:17,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: bhammi-05.07.2022_City_Commission_Budget_Hearing; upstream YouTube URL: https://www.youtube.com/watch?v=Pli_c_uSQp8
src_0003,src_0003.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/lsvco-11_10_25_City_Council_Special_Meeting,lsvco-11_10_25_City_Council_Special_Meeting,11/10/25 City Council Special Meeting,City of Louisville,2025-11-14,9442,02:37:22,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: lsvco-11_10_25_City_Council_Special_Meeting; upstream YouTube URL: https://www.youtube.com/watch?v=3GVp6llDuqo
src_0004,src_0004.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/homesfl-11_12_2025_Special_Call_Meeting,homesfl-11_12_2025_Special_Call_Meeting,11 12 2025   Special Call Meeting,City of Homestead,2025-11-13,4217,01:10:17,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: homesfl-11_12_2025_Special_Call_Meeting; upstream YouTube URL: https://www.youtube.com/watch?v=pBxvvUg7M0U
src_0005,src_0005.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/covsd-2020-06-15_Vermillion_City_Council_Meeting,covsd-2020-06-15_Vermillion_City_Council_Meeting,2020-06-15 Vermillion City Council Meeting,City of Vermillion,2020-06-16,7172,01:59:32,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: covsd-2020-06-15_Vermillion_City_Council_Meeting; upstream YouTube URL: https://www.youtube.com/watch?v=KJJMBwXqqXk
src_0006,src_0006.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/covsd-2022-11-21_City_Council,covsd-2022-11-21_City_Council,2022-11-21 City Council,City of Vermillion,2022-11-22,1653,00:27:33,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: covsd-2022-11-21_City_Council; upstream YouTube URL: https://www.youtube.com/watch?v=6zBlJwGEOnc
src_0007,src_0007.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/covsd-2023-11-06_City_Council,covsd-2023-11-06_City_Council,2023-11-06 City Council,City of Vermillion,2023-11-07,4515,01:15:15,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: covsd-2023-11-06_City_Council; upstream YouTube URL: https://www.youtube.com/watch?v=7Jopj7pafyk
src_0008,src_0008.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/lwvtx-2025-05-19_City_Council,lwvtx-2025-05-19_City_Council,2025-05-19 (City Council),City of Lewisville,2025-05-22,10035,02:47:15,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: lwvtx-2025-05-19_City_Council; upstream YouTube URL: https://www.youtube.com/watch?v=nF5YSiDOBt0
src_0009,src_0009.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/cosbca-Access_Advisory_Committee_-_November_14_2025,cosbca-Access_Advisory_Committee_-_November_14_2025,"Access Advisory Committee - November 14, 2025",City TV,2025-11-15,7780,02:09:40,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: cosbca-Access_Advisory_Committee_-_November_14_2025; upstream YouTube URL: https://www.youtube.com/watch?v=Zas5agWhYgc
src_0010,src_0010.json,internet_archive_community_media_with_upstream_youtube_metadata,https://archive.org/details/holmma-Charter_and_Rules_Committee_4_12_2022,holmma-Charter_and_Rules_Committee_4_12_2022,Charter and Rules Committee 4/12/2022,Holyoke Media,2022-04-13,6301,01:45:01,English,public_source_url_available,public_access_no_redistribution_assumed_until_license_verified,https://archive.org/about/terms.php; https://www.youtube.com/static?template=terms,no,no,no,no,no_text_only_metadata,yes_metadata_only,yes_authors_original_annotation_layer,CC BY 4.0 for authors_original_annotations_only; no rights granted to third-party media/transcripts,safe_release_manifest_annotations_code_only_no_media_no_transcripts,"manual_verified; if seeded from public agenda/chapter markers, normalize labels and disclose as public_seeded_manual_verified",verify source URL and license note; do not redistribute media/audio/transcripts/text chunks,Archive identifier: holmma-Charter_and_Rules_Committee_4_12_2022; upstream YouTube URL: https://www.youtube.com/watch?v=xiLFn2TGrbM
